Round,Accuracy_fedGRA,Comm_fedGRA,Accuracy_high_loss,Comm_high_loss,Accuracy_fedavg,Comm_fedavg
1,48.6,4,48.27,4,77.8,20
2,66.06,4,68.26,4,83.73,20
3,78.53999999999999,4,76.11,4,86.63,20
4,81.95,4,78.41,4,88.28,20
5,85.32,4,85.0,4,89.14999999999999,20
6,85.46000000000001,4,83.28,4,89.72,20
7,88.51,4,87.02,4,90.25,20
8,88.25,4,87.94,4,90.52,20
9,88.55,4,88.53999999999999,4,90.75,20
10,88.44,4,88.34,4,91.03,20
11,89.52,4,88.84,4,91.29,20
12,89.32,4,87.75,4,91.47,20
13,90.12,4,89.21,4,91.62,20
14,90.16999999999999,4,90.48,4,91.81,20
15,90.51,4,90.24,4,92.0,20
16,90.08,4,90.32,4,92.16,20
17,91.18,4,91.35,4,92.28,20
18,91.03,4,90.49000000000001,4,92.44,20
19,90.99000000000001,4,91.51,4,92.5,20
20,91.71000000000001,4,90.88000000000001,4,92.71000000000001,20
21,91.60000000000001,4,91.3,4,92.81,20
22,91.44,4,91.56,4,92.82000000000001,20
23,91.41,4,91.58,4,93.04,20
24,92.08,4,91.79,4,93.05,20
25,92.08,4,91.79,4,93.15,20
26,91.81,4,92.51,4,93.31,20
27,92.52,4,92.43,4,93.36,20
28,93.2,4,92.17999999999999,4,93.39,20
29,92.33,4,92.93,4,93.5,20
30,92.4,4,91.99000000000001,4,93.4,20
31,92.57,4,92.45,4,93.61,20
32,93.06,4,92.55,4,93.78,20
33,93.21000000000001,4,92.94,4,93.81,20
34,92.92,4,92.86,4,93.91000000000001,20
35,93.47,4,93.28,4,93.99,20
36,93.27,4,93.67,4,94.04,20
37,92.91,4,92.91,4,94.1,20
38,93.62,4,93.58999999999999,4,94.26,20
39,93.51,4,92.93,4,94.34,20
40,93.25,4,93.28,4,94.39,20
41,93.5,4,93.75,4,94.43,20
42,93.46,4,93.69,4,94.55,20
43,93.30000000000001,4,94.07,4,94.71000000000001,20
44,92.95,4,92.99,4,94.69,20
45,93.91000000000001,4,93.67,4,94.87,20
46,93.7,4,94.11,4,94.88,20
47,94.13,4,94.49,4,94.92,20
48,93.96,4,94.22,4,95.00999999999999,20
49,94.1,4,94.48,4,95.17,20
50,94.28999999999999,4,93.89999999999999,4,95.12,20
