Round,Accuracy_high_loss_x,Comm_high_loss_x,Accuracy_high_loss_y,Comm_high_loss_y
1,11.35,4,9.8,4
2,11.35,4,8.92,4
3,8.92,4,13.05,4
4,10.100000000000001,4,10.32,4
5,21.98,4,9.84,4
6,9.82,4,17.11,4
7,13.96,4,9.86,4
8,25.069999999999997,4,22.37,4
9,8.92,4,10.75,4
10,10.100000000000001,4,20.43,4
11,10.32,4,19.900000000000002,4
12,10.77,4,14.24,4
13,26.919999999999998,4,11.04,4
14,29.29,4,17.32,4
15,20.200000000000003,4,22.54,4
16,25.44,4,20.599999999999998,4
17,12.85,4,12.9,4
18,10.37,4,25.779999999999998,4
19,35.33,4,24.57,4
20,55.97,4,14.940000000000001,4
21,27.57,4,15.190000000000001,4
22,24.52,4,18.970000000000002,4
23,11.12,4,14.95,4
24,8.92,4,19.18,4
25,14.41,4,22.2,4
26,16.900000000000002,4,24.240000000000002,4
27,37.1,4,31.830000000000002,4
28,40.410000000000004,4,31.4,4
29,27.48,4,17.93,4
30,16.99,4,31.44,4
31,34.56,4,11.709999999999999,4
32,17.5,4,19.84,4
33,56.76,4,28.860000000000003,4
34,15.620000000000001,4,19.72,4
35,40.58,4,25.240000000000002,4
36,16.939999999999998,4,23.400000000000002,4
37,9.6,4,30.48,4
38,44.32,4,26.5,4
39,48.82,4,31.3,4
40,58.14,4,40.92,4
41,33.900000000000006,4,36.78,4
42,41.980000000000004,4,35.6,4
43,52.05,4,26.97,4
44,65.51,4,29.160000000000004,4
45,49.44,4,35.78,4
46,52.019999999999996,4,40.36,4
47,47.870000000000005,4,52.07000000000001,4
48,55.61000000000001,4,41.63,4
49,30.61,4,32.28,4
50,17.01,4,59.08,4
51,46.11,4,46.51,4
52,15.14,4,51.94,4
53,27.150000000000002,4,53.94,4
54,52.33,4,52.900000000000006,4
55,51.24999999999999,4,54.74,4
56,61.86000000000001,4,50.7,4
57,18.39,4,59.37,4
58,33.160000000000004,4,52.629999999999995,4
59,63.91,4,55.57,4
60,17.599999999999998,4,44.45,4
61,35.42,4,47.48,4
62,63.3,4,35.29,4
63,36.18,4,39.17,4
64,63.4,4,36.75,4
65,47.72,4,41.86,4
66,33.050000000000004,4,43.86,4
67,58.620000000000005,4,43.03,4
68,62.56,4,48.71,4
69,44.79,4,50.54,4
70,64.11,4,37.29,4
71,43.730000000000004,4,49.74,4
72,69.43,4,52.910000000000004,4
73,69.6,4,62.7,4
74,74.63,4,62.25000000000001,4
75,43.97,4,52.44,4
76,71.61,4,64.19,4
77,52.25,4,61.31999999999999,4
78,31.869999999999997,4,63.44,4
79,42.66,4,58.18,4
80,66.10000000000001,4,73.31,4
81,72.49,4,65.62,4
82,43.53,4,74.46000000000001,4
83,72.13000000000001,4,57.34,4
84,70.93,4,74.69,4
85,73.13,4,65.42,4
86,46.42,4,71.95,4
87,70.67999999999999,4,74.02,4
88,82.1,4,62.150000000000006,4
89,49.96,4,70.05,4
90,75.14999999999999,4,79.06,4
91,73.72999999999999,4,72.52,4
92,49.79,4,68.77,4
93,68.75,4,74.17,4
94,72.53,4,69.63000000000001,4
95,68.62,4,72.71,4
96,77.88000000000001,4,74.22999999999999,4
97,78.73,4,69.62,4
98,61.29,4,64.32,4
99,72.61999999999999,4,80.28999999999999,4
100,56.53,4,68.97,4
